job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
array_list_capacity,TRUE,9,167,0.50,0.49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.52
array_list_length,TRUE,9,167,0.52,0.50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.54
array_list_get_at_ptr,TRUE,11,201,0.50,0.49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.53
array_list_init_static,TRUE,12,211,0.89,0.88,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.91
array_list_init_dynamic,TRUE,12,145,0.90,0.90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.92
array_list_get_at,TRUE,18,281,0.89,0.87,6,5,13,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.92
array_list_back,TRUE,18,295,1.09,1.07,6,5,13,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.12
array_list_front,TRUE,18,288,1.13,1.11,6,5,13,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.15
byte_buf_append,TRUE,15,245,0.12,0.10,4,3,11,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.14
byte_buf_advance,TRUE,12,216,0.15,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
array_list_sort,TRUE,9,163,0.49,0.48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.51
byte_buf_clean_up,TRUE,17,75,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
array_list_pop_back,TRUE,11,221,1.48,1.47,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.51
byte_buf_clean_up_secure,TRUE,17,75,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
byte_buf_append_dynamic,TRUE,21,350,0.25,0.23,4,6,15,n/a,n/a,n/a,3,n/a,n/a,0.00,0.00,0.00,0.27
array_eq_c_str,TRUE,12,1132,1.55,1.51,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.59
array_list_clear,TRUE,9,126,1.78,1.77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.79
byte_buf_eq_c_str,TRUE,9,319,0.15,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
byte_buf_from_array,TRUE,9,127,0.03,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
byte_buf_eq_c_str_ignore_case,TRUE,9,319,0.18,0.16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.20
array_list_ensure_capacity,TRUE,12,240,2.19,2.17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.21
