job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_build_arm,hybrid_load,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
byte_cursor_read_be64,TRUE,4,326,0.35,0.33,0.00,0.00,0.00,0.00,0.00,0.36
hash_array_ignore_case,TRUE,5,167,0.04,0.02,n/a,n/a,n/a,n/a,0.00,0.05
hash_string,TRUE,5,241,0.23,0.21,0.00,0.00,0.00,0.00,0.00,0.24
byte_cursor_from_c_str,TRUE,5,799,1.23,1.21,0.00,0.01,0.00,0.00,0.01,1.26
byte_cursor_read,TRUE,5,448,1.07,1.04,0.00,0.01,0.00,0.01,0.01,1.09
hash_byte_cursor_ptr_ignore_case,TRUE,4,171,0.03,0.02,n/a,n/a,n/a,n/a,0.00,0.04
byte_cursor_eq_ignore_case,TRUE,4,2276,1.60,1.55,0.00,0.03,0.00,0.00,0.02,1.62
byte_cursor_trim_pred,TRUE,4,586,0.72,0.70,0.00,0.00,0.00,0.00,0.01,0.75
array_list_copy,TRUE,7,244,6.32,6.30,0.00,0.00,0.00,0.00,0.00,6.34
byte_buf_write_from_whole_buffer,TRUE,6,428,3.12,3.05,0.00,0.04,0.00,0.02,0.03,3.16
byte_cursor_compare_lookup,TRUE,4,1180,2.37,2.33,0.00,0.01,0.00,0.00,0.01,2.42
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,2359,2.42,2.36,0.00,0.03,0.00,0.01,0.02,2.45
hash_callback_string_destroy,TRUE,5,175,0.26,0.25,0.00,0.00,0.00,0.00,0.00,0.28
byte_cursor_read_and_fill_buffer,TRUE,5,541,2.00,1.93,0.00,0.04,0.00,0.01,0.03,2.03
hash_table_move,TRUE,5,312,0.29,0.27,0.00,0.00,0.00,0.00,0.00,0.31
hash_table_get_entry_count,TRUE,5,314,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.33
hash_c_string,TRUE,5,952,1.38,1.35,0.00,0.00,0.00,0.00,0.01,1.41
hash_iter_done,TRUE,5,572,0.92,0.89,0.00,0.01,0.00,0.00,0.01,0.96
hash_table_clean_up,TRUE,5,685,0.87,0.83,0.00,0.00,0.00,0.00,0.01,0.91
linked_list_init,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
linked_list_remove,TRUE,6,21,0.01,0.01,n/a,n/a,n/a,n/a,n/a,0.03
hash_table_clear,TRUE,5,711,0.80,0.76,0.00,0.00,0.00,0.00,0.00,0.83
hash_iter_begin,TRUE,5,1294,1.80,1.75,0.00,0.01,0.00,0.00,0.01,1.86
hash_table_swap,TRUE,6,755,1.82,1.78,0.00,0.01,0.00,0.00,0.01,1.87
linked_list_prev,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
linked_list_next,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
linked_list_node_reset,TRUE,4,60,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.09
hash_byte_cursor_ptr,TRUE,4,1223,2.34,2.29,n/a,n/a,n/a,n/a,0.01,2.44
linked_list_insert_after,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.04
linked_list_insert_before,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.04
